City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
125,Rajauri,IN,33.3833,74.3,74.37,65,0,4.99,clear sky
126,Hami,CN,42.8,93.45,76.73,21,1,5.7,clear sky
127,Atambua,ID,-9.1061,124.8925,69.76,88,75,5.21,broken clouds
128,Belyy Yar,RU,53.6039,91.3903,66.09,72,0,4.47,light rain
129,Cherskiy,RU,68.75,161.3,42.42,57,89,15.93,overcast clouds
130,Jinka,ET,5.65,36.65,66.7,58,96,2.51,overcast clouds
131,Pravokumskoye,RU,44.7694,44.6472,75.74,56,0,4.9,clear sky
132,Catamarca,AR,-28.4696,-65.7852,65.59,32,0,10.58,clear sky
133,Hermanus,ZA,-34.4187,19.2345,57.9,89,3,9.75,clear sky
134,Tiksi,RU,71.6872,128.8694,50.22,63,73,3.94,broken clouds
135,Jalu,LY,29.0331,21.5482,88.75,24,0,10.07,clear sky
136,Mahebourg,MU,-20.4081,57.7,59.29,88,20,6.91,few clouds
137,Suslonger,RU,56.3156,48.2531,72.32,72,12,5.82,few clouds
138,Bethel,US,41.3712,-73.414,79.72,54,1,5.75,clear sky
139,Grand Gaube,MU,-20.0064,57.6608,59.4,63,1,4.38,clear sky
140,Airai,TL,-8.9266,125.4092,55.47,81,71,3.38,broken clouds
141,Vettavalam,IN,12.1,79.25,82.33,53,96,12.64,overcast clouds
142,Pervomayskoye,RU,43.919,46.7102,71.22,70,79,5.86,broken clouds
143,Zemio,CF,5.0314,25.1361,69.15,93,97,1.7,overcast clouds
144,Buta,CD,2.7858,24.73,71.22,87,77,1.23,light rain
145,Richards Bay,ZA,-28.783,32.0377,64.24,82,95,3.62,light rain
146,Moose Factory,CA,51.2585,-80.6094,68.0,72,90,10.36,overcast clouds
147,Muros,ES,42.7762,-9.0603,65.84,78,80,8.32,broken clouds
148,Burnie,AU,-41.0667,145.9167,49.01,90,100,6.22,moderate rain
149,Acapulco,MX,16.8634,-99.8901,89.42,70,20,10.36,few clouds
150,Caibarien,CU,22.5206,-79.4669,92.52,77,100,13.27,overcast clouds
151,Katsuura,JP,35.1333,140.3,84.18,84,42,10.16,scattered clouds
152,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,92,75,13.8,broken clouds
153,Dzaoudzi,YT,-12.7887,45.2699,71.49,88,0,4.61,clear sky
154,Lubango,AO,-14.9172,13.4925,55.67,32,0,4.07,clear sky
155,Uberlandia,BR,-18.9186,-48.2772,74.41,38,0,2.3,clear sky
156,Truro,GB,50.2653,-5.0544,59.56,80,20,5.75,few clouds
157,Taber,CA,49.8167,-112.1518,88.68,45,99,10.36,overcast clouds
158,Carnarvon,AU,-24.8667,113.6333,44.67,47,0,11.5,clear sky
159,Abha,SA,18.2164,42.5053,64.65,88,20,11.5,few clouds
160,Sola,VU,-13.8833,167.55,75.04,60,83,13.65,broken clouds
161,Kodiak,US,57.79,-152.4072,56.71,77,90,6.91,overcast clouds
162,Belaya Gora,RU,68.5333,146.4167,51.24,45,6,9.04,clear sky
163,Geraldton,AU,-28.7667,114.6,45.01,87,3,10.36,clear sky
164,Havoysund,NO,70.9963,24.6622,49.08,82,19,21.79,light rain
165,Windhoek,NA,-22.5594,17.0832,55.6,35,0,3.44,clear sky
166,Salinopolis,BR,-0.6136,-47.3561,78.94,76,71,8.28,broken clouds
167,Zhigalovo,RU,54.8097,105.1578,53.82,98,72,3.31,broken clouds
168,Waraseoni,IN,21.75,80.0333,74.16,92,100,4.21,overcast clouds
169,Karratha,AU,-20.7377,116.8463,59.04,26,6,17.38,clear sky
170,Esperance,AU,-33.8667,121.9,51.94,80,100,12.03,overcast clouds
171,Flinders,AU,-34.5833,150.8552,59.05,85,65,1.01,broken clouds
172,Nova Granada,BR,-20.5339,-49.3142,73.65,39,4,7.72,clear sky
173,Kununurra,AU,-15.7667,128.7333,75.18,41,66,6.91,broken clouds
174,Ancud,CL,-41.8697,-73.8203,53.13,98,100,3.6,overcast clouds
175,Yerbogachen,RU,61.2767,108.0108,61.9,72,100,3.49,overcast clouds
176,Kamenka,RU,51.3223,42.7678,75.56,42,30,2.39,scattered clouds
177,Kruisfontein,ZA,-34.0033,24.7314,47.88,93,0,5.66,clear sky
178,Plaster Rock,CA,46.9065,-67.39,66.72,98,100,3.67,overcast clouds
179,Cabo San Lucas,MX,22.8909,-109.9124,99.52,49,40,16.11,scattered clouds
180,Komsomolskiy,UZ,40.4272,71.7189,72.82,60,99,6.91,overcast clouds
181,Pevek,RU,69.7008,170.3133,35.04,81,100,19.08,overcast clouds
182,Srednekolymsk,RU,67.45,153.6833,47.19,54,80,10.18,broken clouds
183,Husavik,IS,66.0449,-17.3389,52.77,88,79,4.36,broken clouds
184,Bambous Virieux,MU,-20.3428,57.7575,59.25,88,20,6.91,few clouds
185,Ladson,US,32.9857,-80.1098,89.78,71,75,1.99,thunderstorm
186,Umm Kaddadah,SD,13.6017,26.6876,80.85,64,62,20.02,broken clouds
187,Mercedes,AR,-34.6515,-59.4307,55.51,60,0,5.97,clear sky
188,Tutoia,BR,-2.7619,-42.2744,78.03,75,10,7.7,clear sky
189,Aloleng,PH,16.1307,119.7824,81.86,85,100,22.77,overcast clouds
190,Dukat,RU,62.55,155.55,33.46,92,100,5.93,light snow
191,Lompoc,US,34.6391,-120.4579,92.01,65,1,13.8,clear sky
192,Nanakuli,US,21.3906,-158.1547,87.75,48,20,17.27,few clouds
193,Baykit,RU,61.67,96.37,59.83,75,100,4.23,overcast clouds
194,Hasaki,JP,35.7333,140.8333,82.8,87,97,10.94,overcast clouds
195,Tairua,NZ,-37.0167,175.85,53.1,76,73,14.58,broken clouds
196,Leningradskiy,RU,69.3833,178.4167,33.04,99,100,10.63,light snow
197,Yulara,AU,-25.2406,130.9889,35.44,75,0,8.05,clear sky
198,Rovaniemi,FI,66.5,25.7167,53.01,58,0,5.75,clear sky
199,Kemin,KG,42.7846,75.6892,65.03,38,18,5.23,few clouds
200,Coronel Bogado,PY,-27.1833,-56.3,61.29,61,0,5.57,clear sky
201,Hokitika,NZ,-42.7167,170.9667,47.98,80,100,6.78,overcast clouds
202,Chulman,RU,56.8479,124.9104,54.64,90,72,5.82,broken clouds
203,Bijie,CN,27.3125,105.2942,63.66,82,16,3.71,few clouds
204,Bathurst,AU,-33.4166,149.5806,48.83,98,92,11.12,overcast clouds
205,Barreirinhas,BR,-2.7469,-42.8264,77.72,69,33,6.44,scattered clouds
206,Gawler,AU,-34.6,138.7333,51.55,84,50,11.48,light rain
207,Santa Rosalia,MX,27.3167,-112.2833,91.94,46,100,7.0,overcast clouds
208,Lasa,IT,46.6166,10.7002,58.08,91,50,2.1,scattered clouds
209,Belinskiy,RU,52.9647,43.4165,70.77,54,2,7.74,clear sky
210,Awjilah,LY,29.1081,21.2869,87.91,28,0,12.46,clear sky
211,Touros,BR,-5.1989,-35.4608,76.1,81,24,16.49,few clouds
212,Lata,PT,40.1629,-8.3327,61.81,92,21,2.51,few clouds
213,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,75,11.5,broken clouds
214,Verkhnevilyuysk,RU,63.4453,120.3167,63.03,58,1,4.21,clear sky
215,Ugento,IT,39.9263,18.1574,80.96,43,0,1.59,clear sky
216,Gat,IL,31.61,34.7642,83.39,47,0,4.32,clear sky
217,Chuy,UY,-33.6971,-53.4616,49.77,94,20,5.53,few clouds
218,Saint George,US,37.1041,-113.5841,104.38,19,20,1.01,few clouds
219,Dwarka,IN,22.2394,68.9678,81.41,81,100,23.42,overcast clouds
220,Chara,RU,56.9064,118.2631,54.91,75,72,2.04,broken clouds
221,Miguelopolis,BR,-20.1794,-48.0319,75.02,41,0,3.53,clear sky
222,Avera,US,33.194,-82.5271,92.75,35,13,4.9,few clouds
223,Kathmandu,NP,27.7167,85.3167,71.82,100,75,2.3,broken clouds
224,Mineros,BO,-17.1167,-63.2333,74.05,26,1,3.6,clear sky
225,Tuatapere,NZ,-46.1333,167.6833,46.81,82,99,4.27,overcast clouds
226,Vila Velha,BR,-20.3297,-40.2925,73.96,78,0,0.0,clear sky
227,Ossora,RU,59.2353,163.0719,54.82,55,69,16.06,broken clouds
228,Macusani,PE,-14.0833,-70.4333,38.57,69,54,6.15,broken clouds
229,Provideniya,RU,64.3833,-173.3,51.91,82,90,15.66,moderate rain
230,Ondangwa,NA,-17.9167,15.95,62.6,36,0,5.75,clear sky
231,Xining,CN,36.6167,101.7667,57.34,94,100,1.92,overcast clouds
232,Manzanillo,CU,20.3433,-77.1167,88.29,63,84,5.99,broken clouds
233,Baoshan,CN,46.5586,131.4244,77.0,67,98,5.5,overcast clouds
234,Nanortalik,GL,60.1432,-45.2371,44.62,93,96,2.04,light rain
235,Teguldet,RU,57.3064,88.1667,53.01,88,88,3.36,overcast clouds
236,Kuching,MY,1.55,110.3333,75.42,94,20,3.44,few clouds
237,Barsi,IN,18.2333,75.7,73.33,82,100,9.1,overcast clouds
238,Moron,AR,-34.6534,-58.6198,56.05,55,0,1.01,clear sky
239,Kutum,SD,14.2,24.6667,73.4,65,38,13.98,scattered clouds
240,Rio Gallegos,AR,-51.6226,-69.2181,46.45,46,0,36.82,clear sky
241,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,36,0,13.8,clear sky
242,Kharp,RU,66.8014,65.8081,51.33,84,96,6.71,overcast clouds
243,Brae,GB,60.3964,-1.353,51.71,72,100,2.44,overcast clouds
244,Gold Coast,AU,-28.0,153.4333,66.27,93,90,1.01,overcast clouds
245,Coxim,BR,-18.5067,-54.76,77.63,31,6,2.57,clear sky
246,Bengkulu,ID,-3.8004,102.2655,74.95,89,47,3.51,scattered clouds
247,Quatre Cocos,MU,-20.2078,57.7625,59.11,70,1,3.83,clear sky
248,Dingle,PH,10.9995,122.6711,79.0,86,100,9.98,light rain
249,Port Lincoln,AU,-34.7333,135.8667,51.64,62,65,18.99,broken clouds
250,Hobyo,SO,5.3505,48.5268,77.22,78,38,23.49,scattered clouds
251,Cajaruro,PE,-5.7364,-78.4256,81.93,56,52,6.26,light rain
252,Te Anau,NZ,-45.4167,167.7167,40.66,90,45,1.54,scattered clouds
253,Nizhniy Kuranakh,RU,58.8353,125.4869,56.53,90,99,3.58,overcast clouds
254,Selenduma,RU,50.9131,106.2406,59.47,88,100,5.48,light rain
255,Andros Town,BS,24.7,-77.7667,84.16,73,100,12.8,moderate rain
256,Soubre,CI,5.7856,-6.6083,71.4,94,19,3.33,few clouds
257,Ortakoy,TR,38.7373,34.0387,70.05,59,0,4.0,clear sky
258,Liverpool,GB,53.4106,-2.9779,57.69,75,0,3.44,clear sky
259,Carutapera,BR,-1.195,-46.02,75.97,85,71,5.91,broken clouds
260,Russell,US,32.3502,-85.1999,82.11,90,75,6.91,thunderstorm with light rain
261,Aklavik,CA,68.2191,-135.0107,64.4,72,75,9.22,broken clouds
262,Sokoni,TZ,-6.4333,39.55,75.43,77,63,14.38,broken clouds
263,Zlitan,LY,32.4674,14.5687,83.79,57,0,8.52,clear sky
264,Cayenne,GF,4.9333,-52.3333,82.09,81,44,2.3,scattered clouds
