City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
159,Abha,SA,64.65,few clouds,18.2164,42.5053,Abha Hotel
160,Sola,VU,75.04,broken clouds,-13.8833,167.55,Leumerus Bungalows
161,Kodiak,US,56.71,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
166,Salinopolis,BR,78.94,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
167,Zhigalovo,RU,53.82,broken clouds,54.8097,105.1578,"Hotel ""Lenatur"""
168,Waraseoni,IN,74.16,overcast clouds,21.75,80.0333,Thakre Bhavan
169,Karratha,AU,59.04,clear sky,-20.7377,116.8463,ibis Styles Karratha
170,Esperance,AU,51.94,overcast clouds,-33.8667,121.9,Hospitality Esperance
171,Flinders,AU,59.05,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
172,Nova Granada,BR,73.65,clear sky,-20.5339,-49.3142,Granada Hotel - Nova Granada
173,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
174,Ancud,CL,53.13,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
178,Plaster Rock,CA,66.72,overcast clouds,46.9065,-67.39,Settler's Inn & Motel
180,Komsomolskiy,UZ,72.82,overcast clouds,40.4272,71.7189,Ikathouse
183,Husavik,IS,52.77,broken clouds,66.0449,-17.3389,Bjarnabúð
184,Bambous Virieux,MU,59.25,few clouds,-20.3428,57.7575,Casa Tia Villa
187,Mercedes,AR,55.51,clear sky,-34.6515,-59.4307,Posada del Inti Centro
188,Tutoia,BR,78.03,clear sky,-2.7619,-42.2744,Pousada Guará's
195,Tairua,NZ,53.1,broken clouds,-37.0167,175.85,Pacific Harbour Villas
198,Rovaniemi,FI,53.01,clear sky,66.5,25.7167,Arctic City Hotel
199,Kemin,KG,65.03,few clouds,42.7846,75.6892,Hotel Kok-Oirok
200,Coronel Bogado,PY,61.29,clear sky,-27.1833,-56.3,Ganaderia ATASA
202,Chulman,RU,54.64,broken clouds,56.8479,124.9104,Gostinitsa
203,Bijie,CN,63.66,few clouds,27.3125,105.2942,Four Points by Sheraton Bijie
205,Barreirinhas,BR,77.72,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
