City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Esil,KZ,2021-07-27 18:45:55,51.9556,66.4042,60.76,50,6,5.66
114,Japura,ID,2021-07-27 18:45:55,-0.3167,102.35,72.46,75,65,3.13
115,Kurumkan,RU,2021-07-27 18:45:56,54.3,110.3,66.65,53,83,3.53
116,Pangkalanbuun,ID,2021-07-27 18:45:56,-2.6833,111.6167,74.14,95,100,1.92
117,Dharchula,IN,2021-07-27 18:45:57,29.85,80.5333,75.47,96,100,1.21
118,Fountain Hills,US,2021-07-27 18:45:57,33.6117,-111.7174,100.69,34,1,3.0
119,Kudahuvadhoo,MV,2021-07-27 18:45:57,2.6708,72.8944,81.21,77,100,9.08
120,Weinan,CN,2021-07-27 18:45:58,34.5036,109.5089,76.69,53,100,1.86
121,Winnemucca,US,2021-07-27 18:45:58,40.973,-117.7357,89.11,27,1,8.05
122,Nelson Bay,AU,2021-07-27 18:45:59,-32.7167,152.15,48.99,94,7,7.0
123,Zhangjiakou,CN,2021-07-27 18:45:59,40.81,114.8794,69.31,86,100,4.09
124,San Jose De Sisa,PE,2021-07-27 18:45:59,-6.6167,-76.6915,90.12,59,64,1.9
125,Haskovo,BG,2021-07-27 18:46:00,41.9403,25.5694,83.82,30,0,7.23
126,Gambela,ET,2021-07-27 18:46:00,8.25,34.5833,68.86,95,100,2.84
127,Upernavik,GL,2021-07-27 18:46:00,72.7868,-56.1549,47.84,82,100,6.08
128,Mariental,NA,2021-07-27 18:46:01,-24.6333,17.9667,62.42,24,0,10.02
129,Muros,ES,2021-07-27 18:46:01,42.7762,-9.0603,72.84,64,2,12.53
130,Kajansi,UG,2021-07-27 18:46:02,0.2081,32.5222,70.48,68,9,4.09
131,Honningsvag,NO,2021-07-27 18:46:02,70.9821,25.9704,45.93,100,90,10.36
132,Tiksi,RU,2021-07-27 18:46:03,71.6872,128.8694,36.72,94,49,5.3
133,Lazaro Cardenas,MX,2021-07-27 18:46:03,17.9583,-102.2,86.86,66,23,6.98
134,Matay,EG,2021-07-27 18:46:03,28.419,30.7792,87.69,27,0,7.72
135,Mahebourg,MU,2021-07-27 18:46:04,-20.4081,57.7,68.29,94,75,9.22
136,Oktyabrskoye,RU,2021-07-27 18:46:05,43.0645,44.7417,57.34,100,100,6.71
137,Cananeia,BR,2021-07-27 18:46:05,-25.0147,-47.9267,65.68,90,76,14.7
138,Qui Nhon,VN,2021-07-27 18:46:05,13.7667,109.2333,84.24,71,99,16.55
139,Preobrazheniye,RU,2021-07-27 18:46:06,42.9019,133.9064,72.03,94,7,4.59
140,Puerto Morazan,NI,2021-07-27 18:46:06,12.8504,-87.1717,93.78,45,39,4.23
141,Matagami,CA,2021-07-27 18:46:07,49.7502,-77.6328,62.71,51,75,4.61
142,Saint-Augustin,CA,2021-07-27 18:44:22,51.226,-58.6502,65.68,86,95,9.66
143,Havelock,US,2021-07-27 18:45:06,34.8791,-76.9013,92.01,86,89,5.01
144,Sao Filipe,CV,2021-07-27 18:46:07,14.8961,-24.4956,75.2,76,6,6.51
145,Wajima,JP,2021-07-27 18:43:41,37.4,136.9,76.75,87,4,5.53
146,Guadalupe,MX,2021-07-27 18:46:08,25.6833,-100.25,92.39,57,5,7.56
147,Lahaina,US,2021-07-27 18:46:08,20.8783,-156.6825,80.35,89,27,10.38
148,Nanortalik,GL,2021-07-27 18:41:43,60.1432,-45.2371,47.03,75,29,5.08
149,Cabo San Lucas,MX,2021-07-27 18:46:09,22.8909,-109.9124,100.51,67,1,8.01
150,Camacha,PT,2021-07-27 18:46:09,33.0833,-16.3333,69.22,73,40,17.27
151,Auki,SB,2021-07-27 18:43:17,-8.7676,160.7034,76.46,89,48,4.29
152,Vardo,NO,2021-07-27 18:46:10,70.3705,31.1107,55.6,100,75,9.22
153,Lompoc,US,2021-07-27 18:46:10,34.6391,-120.4579,85.01,79,40,3.44
154,Cairns,AU,2021-07-27 18:46:11,-16.9167,145.7667,64.35,94,9,4.61
155,Eyl,SO,2021-07-27 18:46:11,7.9803,49.8164,82.8,58,99,21.43
156,Mount Gambier,AU,2021-07-27 18:43:35,-37.8333,140.7667,49.91,93,75,24.16
157,Yichun,CN,2021-07-27 18:46:12,47.7,128.9,68.27,94,49,2.42
158,Bambous Virieux,MU,2021-07-27 18:46:12,-20.3428,57.7575,68.25,94,75,9.22
159,Clyde River,CA,2021-07-27 18:46:13,70.4692,-68.5914,55.63,67,75,2.3
160,Talaya,RU,2021-07-27 18:46:13,61.3833,152.75,45.82,75,100,4.03
161,Pitimbu,BR,2021-07-27 18:46:13,-7.4706,-34.8086,84.79,77,5,11.63
162,Markova,UA,2021-07-27 18:46:14,48.6758,24.4138,76.59,62,1,6.58
163,Los Llanos De Aridane,ES,2021-07-27 18:46:14,28.6585,-17.9182,71.35,81,75,14.97
164,Kavaratti,IN,2021-07-27 18:46:15,10.5669,72.642,81.68,79,100,18.05
165,Talnakh,RU,2021-07-27 18:42:17,69.4865,88.3972,67.41,81,66,5.14
166,Airai,TL,2021-07-27 18:44:02,-8.9266,125.4092,56.61,72,54,2.68
167,Castro,BR,2021-07-27 18:46:16,-24.7911,-50.0119,57.65,95,100,6.13
168,Nikolskoye,RU,2021-07-27 18:46:16,59.7035,30.7861,76.89,56,58,4.47
169,Coihaique,CL,2021-07-27 18:46:16,-45.5752,-72.0662,48.15,53,0,3.44
170,Mar Del Plata,AR,2021-07-27 18:46:17,-38.0023,-57.5575,49.08,60,40,11.99
